Image,Retina,Non-retina,RPE,lens,Total area,Unscrambled,treatment,well,plate,top_oligo,perc_retina,perc_non-retina,perc_rpe,perc_lens
d60_XY526_CH4,1081818.94,215395.891,0,39145.852,1336360.69,d60_XY01_CH4,BMP,A1,PLATE1,BMP.A1.PLATE1,0.8095261617,0.1611809541,0,0.02929287901
d60_XY198_CH4,1534446.62,252666.805,0,70999.792,1858113.22,d60_XY02_CH4,BMP,A2,PLATE1,BMP.A2.PLATE1,0.8258089999,0.1359803064,0,0.03821069203
d60_XY252_CH4,576932.778,0,0,44795.838,621728.616,d60_XY03_CH4,BMP,A3,PLATE1,BMP.A3.PLATE1,0.9279495316,0,0,0.0720504684
d60_XY407_CH4,1526828.1,118247.689,53645.1,276665.434,1975386.32,d60_XY04_CH4,BMP,A4,PLATE1,BMP.A4.PLATE1,0.7729263307,0.05986053857,0.02715676395,0.1400563683
d60_XY225_CH4,1328576.07,348817.898,29099.69,0,1706493.65,d60_XY05_CH4,BMP,A5,PLATE1,BMP.A5.PLATE1,0.7785414672,0.2044062092,0.01705232832,0
d60_XY189_CH4,231947.138,518388.762,0,64114.464,814450.364,d60_XY06_CH4,BMP,A6,PLATE1,BMP.A6.PLATE1,0.2847897776,0.6364890789,0,0.07872114353
d60_XY430_CH4,159471.349,1879641.41,0,0,2039112.75,d60_XY07_CH4,BMP,A7,PLATE1,BMP.A7.PLATE1,0.07820624387,0.9217937605,0,0
d60_XY332_CH4,1126347.51,851127.542,0,109811.46,2087286.51,d60_XY08_CH4,BMP,A8,PLATE1,BMP.A8.PLATE1,0.539622857,0.4077674713,0,0.05260967264
d60_XY987_CH4,712162.01,1124970.14,0,101592.545,1938724.7,d60_XY09_CH4,BMP,A9,PLATE1,BMP.A9.PLATE1,0.3673352952,0.5802629636,0,0.05240173863
d60_XY201_CH4,492746.722,239001.041,24608.12,99200.416,855556.296,d60_XY10_CH4,BMP,A10,PLATE1,BMP.A10.PLATE1,0.5759372286,0.2793516243,0.02876271277,0.1159484378
d60_XY551_CH4,298707.142,1005577.68,2322.367,0,1306607.19,d60_XY11_CH4,BMP,A11,PLATE1,BMP.A11.PLATE1,0.2286128106,0.7696097861,0.001777402587,0
