Image,Dapi Area,VSX2 area,Brn3b area,Pax2 area,Treatment,%VSX2,%POU4F2,%PAX2
2-1_D28_BOTTOM_CHIR_BMP_blue-PAX1_red-BRN3B_green-VSX2_grey-DAPI-3,58249.329,34148.179,2039.249,10639.45,CHIR,58.6241586,3.50089698,18.2653606
2-1_D28_BOTTOM_CHIR_BMP_blue-PAX1_red-BRN3B_green-VSX2_grey-DAPI-4,259761.653,155206.461,2511.019,5392.362,CHIR,59.7495663,0.9666627,2.07588839
1-1_D28_BOTTOM_CHIR-Bmp_blue-PAX2_red-BRN3B_green-VSX2_grey-DAPI-1,187469.529,102807.475,378.696,18652.156,CHIR,54.8395654,0.20200403,9.94943344
2-1_D28_BOTTOM_CHIR_BMP_blue-PAX1_red-BRN3B_green-VSX2_grey-DAPI-2,67324.256,45470.17,810.085,7843.301,CHIR,67.5390605,1.20325875,11.6500374
2-1_D28_BOTTOM_CHIR_BMP_blue-PAX1_red-BRN3B_green-VSX2_grey-DAPI-5,191503.706,131023.071,3471.795,2644.966,CHIR,68.4180342,1.8129127,1.38115656
1-1_D28_TOP_SAG-noBmp_blue-PAX2_red-BRN3B_green-VSX2_grey-DAPI-1,273484.845,24958.018,25.115,2518.405,SAG,9.1259236,0.00918332,0.92085724
2.1_D28_TOP_SAG-noBmp_blue-PAX1_red-BRN3B_green-VSX2_grey-DAPI-1,155683.648,1937.311,1305.986,2945.362,SAG,1.24438952,0.83887166,1.89188912
2.1_D28_TOP_SAG-noBmp_blue-PAX1_red-BRN3B_green-VSX2_grey-DAPI-2,739946.815,34457.932,4885.628,38675.793,SAG,4.65681199,0.66026745,5.22683417
2.1_D28_TOP_SAG-noBmp_blue-PAX1_red-BRN3B_green-VSX2_grey-DAPI-3,135180.932,29815.576,570.261,10300.643,SAG,22.0560515,0.42185018,7.61989346
2.1_D28_TOP_SAG-noBmp_blue-PAX1_red-BRN3B_green-VSX2_grey-DAPI-4,87059.808,77282.151,317.14,10006.648,SAG,88.7690345,0.36427831,11.4939927
.1_D28_TOP_SAG-noBmp_blue-PAX1_red-BRN3B_green-VSX2_grey-DAPI-5,148451.974,207.323,94.059,962.253,SAG,0.13965661,0.06335988,0.64819145
2.1_D28_TOP_SAG-noBmp_blue-PAX1_red-BRN3B_green-VSX2_grey-DAPI-6,192469.503,14138.496,1113.309,8578.746,SAG,7.34583702,0.57843398,4.45719756
D28_TOP_BMP-Chir_SU_blue-PAX2_red-BRN3B_green-VSX2_1,109217.94,81730.412,1243.916,1114.281,SU5402:CHIR,74.8324057,1.13893011,1.02023624
D28_TOP_BMP-Chir_SU_blue-PAX2_red-BRN3B_green-VSX2_2,208601.08,122636.402,1349.275,915.701,SU5402:CHIR,58.7899171,0.64682072,0.43897232
D28_TOP_BMP-Chir_SU_blue-PAX2_red-BRN3B_green-VSX2_3,131935.182,84155.125,950.658,750.016,SU5402:CHIR,63.785204,0.72054928,0.56847309
D28_TOP_BMP-Chir_SU_blue-PAX2_red-BRN3B_green-VSX2_4,100148.338,58186.366,195.656,1069.783,SU5402:CHIR,58.1001814,0.1953662,1.06819846
D28_TOP_BMP-Chir_SU_blue-PAX2_red-BRN3B_green-VSX2_5,197867.518,123544.853,1994.041,15487.032,SU5402:CHIR,62.4381678,1.00776571,7.82697037
D28_BOTTOM_Sag_BMP-Chir_SU_blue-PAX2_red-BRN3B_green-VSX2_1,84189.199,60152.664,442.904,13456.975,All,71.4493839,0.52608174,15.984206
D28_BOTTOM_Sag_BMP-Chir_SU_blue-PAX2_red-BRN3B_green-VSX2_2,131118.995,61215.633,509.583,30653.324,All,46.6870822,0.38864163,23.3782481
D28_BOTTOM_Sag_BMP-Chir_SU_blue-PAX2_red-BRN3B_green-VSX2_3,124258.366,81265.061,632.233,22815.386,All,65.4000721,0.50880518,18.3612474
D28_BOTTOM_Sag_BMP-Chir_SU_blue-PAX2_red-BRN3B_green-VSX2_4,128391.369,27803.626,453.124,24141.156,All,21.65537,0.35292403,18.8027873
D28_BOTTOM_Sag_BMP-Chir_SU_blue-PAX2_red-BRN3B_green-VSX2_5,195297.525,122585.441,2256.861,57907.43,All,62.7685584,1.15560143,29.6508776
D28_BOTTOM_BMP_SU_blue-PAX2_red-BRN3B_green-VSX2_again_1,158436.768,74336.226,715.946,8444.367,SU5402,46.9185448,0.45188122,5.32980261
D28_BOTTOM_BMP_SU_blue-PAX2_red-BRN3B_green-VSX2_again_2,90152.744,56958.838,2409.687,2444.729,SU5402,63.1803709,2.67289368,2.71176327
D28_BOTTOM_BMP_SU_blue-PAX2_red-BRN3B_green-VSX2_again_3,196410.624,113761.929,3732.556,5080.735,SU5402,57.920456,1.90038396,2.58679235
D28_BOTTOM_BMP_SU_blue-PAX2_red-BRN3B_green-VSX2_again_4,422409.142,226980.693,6144.676,10241.776,SU5402,53.7347965,1.45467401,2.4246104
D28_BOTTOM_BMP_SU_blue-PAX2_red-BRN3B_green-VSX2_again_5,231393.665,124913.847,6849.915,7247.554,SU5402,53.9832614,2.96028632,3.13213156
D28_TOP Left BMP_blue-PAX2_red-BRN3B_green-VSX2_new_1,109440.457,26182.405,768.024,1655.291,BMP,23.9238813,0.70177339,1.51250374
D28_TOP Left BMP_blue-PAX2_red-BRN3B_green-VSX2_new_2,90637.018,26773.754,1231.856,5146.927,BMP,29.5395354,1.35910914,5.67861467
D28_TOP Left BMP_blue-PAX2_red-BRN3B_green-VSX2_new_3-different plane,127212.078,31333.225,4119.488,3325.182,BMP,24.6306998,3.23828371,2.6138886
D28_TOP Right_CT no BMP_blue-PAX2_red-BRN3B_green-VSX2_again_1,124691.909,35125.647,461.885,13311.924,None,28.1699489,0.37042099,10.6758523
D28_TOP Right_CT no BMP_blue-PAX2_red-BRN3B_green-VSX2_again_2,297876.386,68970.767,3067.228,17039.613,None,23.1541573,1.02969827,5.72036382
D28_TOP Right_CT no BMP_blue-PAX2_red-BRN3B_green-VSX2_again_3,150702.019,32507.163,988.502,8513.966,None,21.5704894,0.65593149,5.64953679
D28_TOP Right_CT no BMP_blue-PAX2_red-BRN3B_green-VSX2_again_4,146477.889,9571.094,459.938,11483.852,None,6.53415616,0.31399824,7.8399901
D28_TOP Right_CT no BMP_blue-PAX2_red-BRN3B_green-VSX2_again_5,152868.839,91110.584,990.449,23393.574,None,59.6004945,0.64790771,15.3030364
